Timestamp,1. Spending: How long do you spend on this course per week?,2. Spending: How much money do you spend on this course except for the tuition and fees?,3. Spending: How long do you spend on discussing with classmates per week?,4. Spending: How long do you use in preparing the exam and quiz totally ?,5. Spending: How long do you use in studying totally without purpose of exams?,6. Outcome: How do you rate your learning outcome in this course by yourself? ,7. Outcome: How do you like this course?,8. Outcome: How much do you think you have learnt from this course?,9. Outcome: Do you get a chance to apply what you have learnt in this course? ,10. Outcome: How do you evaluate your performance in applying what you have learnt?
2018/06/29 09:54:16 AM MDT,OK (5~10 hrs),OK ($50~200),OK (1~2hrs),Much (>10 hrs),Much (>10 hrs),Bad,Good,Much,OK,Good
2018/06/29 10:06:05 AM MDT,OK (5~10 hrs),Little (<$50),Much (>2 hrs),Little (<1 hrs),Little (< 1 hrs),OK,Good,OK,OK,OK
2018/06/29 10:13:19 AM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),Little (<1 hrs),Much (>10 hrs),OK,Good,Much,Much,Good
2018/06/29 10:26:57 AM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),OK (5~10 hrs),Little (< 1 hrs),Good,Good,Much,OK,OK
2018/06/29 11:06:51 AM MDT,Little (<5 hrs),Little (<$50),Little (<1 hrs),Little (<1 hrs),OK (5~10 hrs),OK,OK,OK,OK,OK
2018/06/29 11:08:57 AM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),OK (5~10 hrs),OK (5~10 hrs),Good,OK,OK,OK,Good
2018/06/29 11:12:15 AM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),OK,Good,Much,Much,Good
2018/06/29 11:14:28 AM MDT,OK (5~10 hrs),OK ($50~200),OK (1~2hrs),Little (<1 hrs),OK (5~10 hrs),Good,Good,Much,Little,OK
2018/06/29 11:27:20 AM MDT,OK (5~10 hrs),OK ($50~200),Much (>2 hrs),Much (>10 hrs),OK (5~10 hrs),Bad,Good,OK,OK,Bad
2018/06/29 11:32:02 AM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),OK (5~10 hrs),Much (>10 hrs),Good,Good,Much,OK,Good
2018/06/29 11:36:13 AM MDT,OK (5~10 hrs),OK ($50~200),Much (>2 hrs),OK (5~10 hrs),OK (5~10 hrs),Good,Good,Much,Much,Good
2018/06/29 11:39:24 AM MDT,OK (5~10 hrs),Much (>$200),OK (1~2hrs),OK (5~10 hrs),OK (5~10 hrs),OK,OK,OK,OK,Bad
2018/06/29 11:47:09 AM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),OK (5~10 hrs),Much (>10 hrs),OK,OK,Much,Much,Good
2018/06/29 12:09:08 PM MDT,OK (5~10 hrs),Much (>$200),OK (1~2hrs),OK (5~10 hrs),OK (5~10 hrs),OK,OK,Little,Little,OK
2018/06/29 12:14:26 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Little (< 1 hrs),Good,Good,OK,Much,Good
2018/06/29 12:27:08 PM MDT,OK (5~10 hrs),OK ($50~200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),OK,Bad,Much,OK,Bad
2018/06/29 12:32:45 PM MDT,Little (<5 hrs),Little (<$50),Little (<1 hrs),Little (<1 hrs),Little (< 1 hrs),Good,OK,Much,OK,Good
2018/06/29 12:36:34 PM MDT,Much (>10hrs),Little (<$50),OK (1~2hrs),OK (5~10 hrs),OK (5~10 hrs),OK,Good,Much,Much,Good
2018/06/29 12:45:45 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),Much (>10 hrs),Much (>10 hrs),OK,OK,Much,OK,Good
